Granule UR,Producer Granule ID,Start Time,End Time,Online Access URLs,Browse URLs,Cloud Cover,Day/Night,Size
S6A_P4_2__LR_RED__NR_025_001_20210713T162644_20210713T182234_F02,,2021-07-13T16:26:44.514Z,2021-07-13T18:22:34.471Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_001_20210713T162644_20210713T182234_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_001_20210713T162644_20210713T182234_F02.bufr.bin",,,UNSPECIFIED,0.3058042526245117
S6A_P4_2__LR_RED__NR_025_003_20210713T182234_20210713T201839_F02,,2021-07-13T18:22:34.522Z,2021-07-13T20:18:39.482Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_003_20210713T182234_20210713T201839_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_003_20210713T182234_20210713T201839_F02.bufr.bin",,,UNSPECIFIED,0.307220458984375
S6A_P4_2__LR_RED__NR_025_006_20210713T201839_20210713T215450_F02,,2021-07-13T20:18:39.532Z,2021-07-13T21:54:50.473Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_006_20210713T201839_20210713T215450_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_006_20210713T201839_20210713T215450_F02.bufr.bin",,,UNSPECIFIED,0.30895233154296875
S6A_P4_2__LR_RED__NR_025_007_20210713T215450_20210713T234732_F02,,2021-07-13T21:54:50.523Z,2021-07-13T23:47:32.482Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_007_20210713T215450_20210713T234732_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_007_20210713T215450_20210713T234732_F02.bufr.bin",,,UNSPECIFIED,5.1254682540893555
S6A_P4_2__LR_RED__NR_025_009_20210713T234732_20210714T014224_F02,,2021-07-13T23:47:32.533Z,2021-07-14T01:42:24.454Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_009_20210713T234732_20210714T014224_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_009_20210713T234732_20210714T014224_F02.bufr.bin",,,UNSPECIFIED,0.30957794189453125
S6A_P4_2__LR_RED__NR_025_011_20210714T014224_20210714T033812_F02,,2021-07-14T01:42:24.505Z,2021-07-14T03:38:12.465Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_011_20210714T014224_20210714T033812_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_011_20210714T014224_20210714T033812_F02.bufr.bin",,,UNSPECIFIED,0.3099346160888672
S6A_P4_2__LR_RED__NR_025_013_20210714T033812_20210714T053356_F02,,2021-07-14T03:38:12.516Z,2021-07-14T05:33:56.494Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_013_20210714T033812_20210714T053356_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_013_20210714T033812_20210714T053356_F02.bufr.bin",,,UNSPECIFIED,2.702134132385254
S6A_P4_2__LR_RED__NR_025_015_20210714T053357_20210714T072934_F02,,2021-07-14T05:33:57.506Z,2021-07-14T07:29:34.459Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_015_20210714T053357_20210714T072934_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_015_20210714T053357_20210714T072934_F02.bufr.bin",,,UNSPECIFIED,0.30794334411621094
S6A_P4_2__LR_RED__NR_025_017_20210714T072934_20210714T090919_F02,,2021-07-14T07:29:34.509Z,2021-07-14T09:09:19.458Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_017_20210714T072934_20210714T090919_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_017_20210714T072934_20210714T090919_F02.bufr.bin",,,UNSPECIFIED,2.3765649795532227
S6A_P4_2__LR_RED__NR_025_019_20210714T090919_20210714T110146_F02,,2021-07-14T09:09:19.509Z,2021-07-14T11:01:46.456Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_019_20210714T090919_20210714T110146_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_019_20210714T090919_20210714T110146_F02.bufr.bin",,,UNSPECIFIED,0.3079414367675781
